Phase,Week,Week_num,WeekStartDate,WeekEndDate,Stratum,NumOfSites,NumOfTows,RawCatch,TotalRawSampleVolume,AdjCatch,TotalEffSampleVolume,StratumVolume,nHat,nVar,nSE,lowCI,uppCI,SpatialCoverage
17_1,Week.1,1,2016-12-15,2016-12-22,"low.risk,high.density",11,34,12,96578.57265,12,69751.19136,480724148,85591.71128,912495356.7,30207.53808,41238,157972,
17_1,Week.1,1,2016-12-15,2016-12-22,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.1,1,2016-12-15,2016-12-22,"high.risk,high.density",12,53,7,546222.2351,7,394493.8365,68806137,3174.374978,2526909.55,1589.625601,1123,7173,
17_1,Week.1,1,2016-12-15,2016-12-22,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.1,1,2016-12-15,2016-12-22,Total,23,87,19,642800.8078,19,464245.0278,NA,88766.08626,915022266.2,30249.33497,43878,160890,Partial
17_1,Week.2,2,2016-12-27,2016-12-29,"low.risk,high.density",6,17,17,31625.93238,17,22840.95116,480724148,429027.1438,49848021001,223266.7037,145793,993460,
17_1,Week.2,2,2016-12-27,2016-12-29,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.2,2,2016-12-27,2016-12-29,"high.risk,high.density",10,34,7,95644.61201,7,69076.66423,68806137,10333.77255,29407159.79,5422.836876,3480,24058,
17_1,Week.2,2,2016-12-27,2016-12-29,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.2,2,2016-12-27,2016-12-29,Total,16,51,24,127270.5444,24,91917.61539,NA,439360.9164,49877428161,223332.5506,153055,1002266,Partial
17_1,Week.3,3,2016-12-30,2017-01-05,"low.risk,high.density",9,34,8,98174.54507,8,70903.83811,480724148,159064.436,16507360376,128480.9728,30851,496309,
17_1,Week.3,3,2016-12-30,2017-01-05,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.3,3,2016-12-30,2017-01-05,"high.risk,high.density",14,41,19,112651.4123,19,81359.35333,68806137,21796.18971,52180333.13,7223.595582,10989,38953,
17_1,Week.3,3,2016-12-30,2017-01-05,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.3,3,2016-12-30,2017-01-05,Total,23,75,27,210825.9574,27,152263.1914,NA,180860.6257,16559540709,128683.879,42035,516628,Partial
17_1,Week.4,4,2017-01-06,2017-01-12,"low.risk,high.density",3,11,6,25341.45398,6,18302.16121,480724148,231020.314,23238593009,152442.0972,59348,626491,
17_1,Week.4,4,2017-01-06,2017-01-12,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.4,4,2017-01-06,2017-01-12,"high.risk,high.density",11,47,4,172040.5026,4,124251.4741,68806137,2215.183421,1226937.479,1107.672099,785,5001,
17_1,Week.4,4,2017-01-06,2017-01-12,"high.risk,low.density",7,52,3,208043.9016,3,150253.9289,183951788,4671.878469,19021642.06,4361.380752,724,16116,
17_1,Week.4,4,2017-01-06,2017-01-12,Total,21,110,13,405425.8581,13,292807.5642,NA,237907.3759,23258841588,152508.4968,63420,632528,Partial
17_1,Week.5,5,2017-01-17,2017-01-19,"low.risk,high.density",8,32,4,69342.91238,4,50080.99227,480724148,64626.43719,2209926069,47009.85077,14570,187459,
17_1,Week.5,5,2017-01-17,2017-01-19,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.5,5,2017-01-17,2017-01-19,"high.risk,high.density",8,40,4,129056.999,4,93207.83258,68806137,3289.112769,5126570.31,2264.193081,799,9183,
17_1,Week.5,5,2017-01-17,2017-01-19,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.5,5,2017-01-17,2017-01-19,Total,16,72,8,198399.9113,8,143288.8248,NA,67915.54996,2215052640,47064.34574,16358,190491,Partial
17_1,Week.6,6,2017-01-23,2017-01-26,"low.risk,high.density",12,52,8,76993.87476,8,55606.68733,480724148,124363.272,5415714591,73591.53886,36568,313254,
17_1,Week.6,6,2017-01-23,2017-01-26,"low.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.6,6,2017-01-23,2017-01-26,"high.risk,high.density",11,49,3,159530.8556,3,115216.729,68806137,1791.704333,1070277.692,1034.542262,542,4440,
17_1,Week.6,6,2017-01-23,2017-01-26,"high.risk,low.density",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_1,Week.6,6,2017-01-23,2017-01-26,Total,23,101,11,236524.7303,11,170823.4164,NA,126154.9764,5416784869,73598.81024,37722,314771,Partial
17_1,Week.7,7,2017-01-30,2017-02-02,"low.risk,high.density",6,25,2,54696.76513,2,39503.21926,480724148,56905.56461,4339859682,65877.61139,6105,226676,
17_1,Week.7,7,2017-01-30,2017-02-02,"low.risk,low.density",7,50,1,224415.0874,1,162077.5631,364627559,6074.678204,83497851.51,9137.71588,399,28339,
17_1,Week.7,7,2017-01-30,2017-02-02,"high.risk,high.density",6,28,1,97402.1699,1,70346.0116,68806137,978.6137012,958887.2801,979.2279,135,3540,
17_1,Week.7,7,2017-01-30,2017-02-02,"high.risk,low.density",2,16,0,51683.08663,0,37326.67368,183951788,0,NA,NA,NA,NA,
17_1,Week.7,7,2017-01-30,2017-02-02,Total,21,119,4,428197.1091,4,309253.4677,NA,63958.85651,4424316421,66515.53519,8277,237423,Full
17_1,Week.8,8,2017-02-06,2017-02-09,"low.risk,high.density",7,27,5,51931.10937,5,37505.80121,480724148,64815.38357,1117045298,33422.2276,22241,149211,
17_1,Week.8,8,2017-02-06,2017-02-09,"low.risk,low.density",6,34,4,160377.705,4,115828.3425,364627559,17127.71602,180547610.5,13436.80061,3468,52365,
17_1,Week.8,8,2017-02-06,2017-02-09,"high.risk,high.density",6,21,2,60646.27803,2,43800.08969,68806137,3142.404951,4944008.281,2223.5126,736,8942,
17_1,Week.8,8,2017-02-06,2017-02-09,"high.risk,low.density",7,55,0,186552.1919,0,134732.1386,183951788,0,NA,NA,NA,NA,
17_1,Week.8,8,2017-02-06,2017-02-09,Total,26,137,11,459507.2842,11,331866.372,NA,85085.50454,1302536917,36090.67631,35294,173843,Full
17_1,Week.9,9,2017-02-10,2017-02-16,"low.risk,high.density",7,32,0,68175.92494,0,49238.16801,480724148,0,NA,NA,NA,NA,
17_1,Week.9,9,2017-02-10,2017-02-16,"low.risk,low.density",10,48,6,225561.8556,6,162905.7846,364627559,15300.39661,92630803.22,9624.489764,4177,40160,
17_1,Week.9,9,2017-02-10,2017-02-16,"high.risk,high.density",10,47,1,161993.8966,1,116995.592,68806137,874.0915226,2333479.049,1527.572928,43,4412,
17_1,Week.9,9,2017-02-10,2017-02-16,"high.risk,low.density",7,43,0,162486.4038,0,117351.2916,183951788,0,NA,NA,NA,NA,
17_1,Week.9,9,2017-02-10,2017-02-16,Total,34,170,7,618218.0809,7,446490.8362,NA,16174.48813,94964282.26,9744.961891,4655,41235,Full
17_1,Week.10,10,2017-02-21,2017-02-23,"low.risk,high.density",4,20,1,41658.04787,1,30086.36791,480724148,15980.51402,255595863.3,15987.36574,2208,57793,
17_1,Week.10,10,2017-02-21,2017-02-23,"low.risk,low.density",8,48,4,221407.8117,4,159905.6418,364627559,18474.23106,174742813.3,13219.03224,4261,52979,
17_1,Week.10,10,2017-02-21,2017-02-23,"high.risk,high.density",7,31,0,111574.5128,0,80581.5926,68806137,0,NA,NA,NA,NA,
17_1,Week.10,10,2017-02-21,2017-02-23,"high.risk,low.density",3,19,0,209279.9714,0,151146.646,183951788,0,NA,NA,NA,NA,
17_1,Week.10,10,2017-02-21,2017-02-23,Total,22,118,5,583920.3438,5,421720.2483,NA,34454.74507,430338676.6,20744.60596,9924,87800,Full
17_1,Week.11,11,2017-02-24,2017-03-02,"low.risk,high.density",11,52,2,342583.0961,2,247421.125,480724148,15439.22887,179232200,13387.76307,2688,50612,
17_1,Week.11,11,2017-02-24,2017-03-02,"low.risk,low.density",14,81,7,339590.6478,7,245259.9123,364627559,10406.46349,15492787.38,3936.087827,4754,19931,
17_1,Week.11,11,2017-02-24,2017-03-02,"high.risk,high.density",6,30,0,105453.8103,0,76161.08524,68806137,0,NA,NA,NA,NA,
17_1,Week.11,11,2017-02-24,2017-03-02,"high.risk,low.density",13,96,1,605115.1676,1,437027.621,183951788,2906.931219,17746505.56,4212.660152,205,13279,
17_1,Week.11,11,2017-02-24,2017-03-02,Total,44,259,10,1392742.722,10,1005869.744,NA,28752.62357,212471492.9,14576.40192,10044,65479,Full
17_1,Week.12,12,2017-03-06,2017-03-09,"low.risk,high.density",8,41,0,73233.76913,0,52891.05548,480724148,0,NA,NA,NA,NA,
17_1,Week.12,12,2017-03-06,2017-03-09,"low.risk,low.density",11,87,1,500750.8376,1,361653.3827,364627559,1197.387691,1780961.433,1334.52667,137,4653,
17_1,Week.12,12,2017-03-06,2017-03-09,"high.risk,high.density",8,36,2,125195.5444,2,90419.00426,68806137,1522.192262,1159375.199,1076.742866,357,4331,
17_1,Week.12,12,2017-03-06,2017-03-09,"high.risk,low.density",8,60,1,200304.9855,1,144664.7117,183951788,1265.757414,1611561.202,1269.472805,174,4585,
17_1,Week.12,12,2017-03-06,2017-03-09,Total,35,224,4,899485.1365,4,649628.1542,NA,3985.337367,4551897.835,2133.517714,1314,9398,Full
17_1,Week.13,13,2017-03-13,2017-03-16,"low.risk,high.density",9,44,0,87410.15591,0,63129.55705,480724148,0,NA,NA,NA,NA,
17_1,Week.13,13,2017-03-13,2017-03-16,"low.risk,low.density",8,56,3,203083.9859,3,146671.7676,364627559,31844.25506,560269043.3,23670.00303,6966,93768,
17_1,Week.13,13,2017-03-13,2017-03-16,"high.risk,high.density",8,34,1,273968.4135,1,197866.0765,68806137,898.364083,1212916.633,1101.324944,87,3711,
17_1,Week.13,13,2017-03-13,2017-03-16,"high.risk,low.density",8,58,0,179721.7938,0,129799.0733,183951788,0,NA,NA,NA,NA,
17_1,Week.13,13,2017-03-13,2017-03-16,Total,33,192,4,744184.3492,4,537466.4744,NA,32742.61914,561481959.9,23695.61056,7435,94638,Full
17_1,Week.14,14,2017-03-20,2017-03-23,"low.risk,high.density",6,28,0,51374.40615,0,37103.73778,480724148,0,NA,NA,NA,NA,
17_1,Week.14,14,2017-03-20,2017-03-23,"low.risk,low.density",9,72,0,1018041.692,0,735252.3329,364627559,0,NA,NA,NA,NA,
17_1,Week.14,14,2017-03-20,2017-03-23,"high.risk,high.density",7,32,0,281764.2805,0,203496.4248,68806137,0,NA,NA,NA,NA,
17_1,Week.14,14,2017-03-20,2017-03-23,"high.risk,low.density",7,49,0,161864.8305,0,116902.3776,183951788,0,NA,NA,NA,NA,
17_1,Week.14,14,2017-03-20,2017-03-23,Total,29,181,0,1513045.209,0,1092754.873,NA,0,0,NA,NA,NA,Full
17_1,Week.15,15,2017-03-24,2017-03-30,"low.risk,high.density",3,15,0,31435.1975,0,22703.19819,480724148,0,NA,NA,NA,NA,
17_1,Week.15,15,2017-03-24,2017-03-30,"low.risk,low.density",6,48,1,517641.995,1,373852.552,364627559,2380.819738,7921859.921,2814.579884,246,9612,
17_1,Week.15,15,2017-03-24,2017-03-30,"high.risk,high.density",6,29,0,102037.0949,0,73693.45741,68806137,0,NA,NA,NA,NA,
17_1,Week.15,15,2017-03-24,2017-03-30,"high.risk,low.density",9,68,0,563611.7969,0,407052.9645,183951788,0,NA,NA,NA,NA,
17_1,Week.15,15,2017-03-24,2017-03-30,Total,24,160,1,1214726.084,1,877302.172,NA,2380.819738,7921859.921,2814.579884,246,9612,Full
17_2,Week.1,1,2017-04-24,2017-04-28,low.risk.high.density,6,12,0,12366.0127,0,12366.0127,855141511,0,0,NA,NA,NA,
17_2,Week.1,1,2017-04-24,2017-04-28,Western low.risk.low.density,3,6,0,5343.503639,0,5343.503639,525571566,0,0,NA,NA,NA,
17_2,Week.1,1,2017-04-24,2017-04-28,high.risk,6,12,0,11440.78848,0,11440.78848,403761732,0,0,NA,NA,NA,
17_2,Week.1,1,2017-04-24,2017-04-28,Eastern low.risk.low.density,3,7,0,5633.353936,0,5633.353936,128797748,0,0,NA,NA,NA,
17_2,Week.1,1,2017-04-24,2017-04-28,Total,18,37,0,34783.65876,0,34783.65876,NA,0,0,NA,NA,NA,Full
17_2,Week.2,2,2017-05-01,2017-05-05,low.risk.high.density,6,12,6,11560.49426,85.21458107,11560.49426,855141511,6303409.179,6.55E+13,8094867.577,559562,26803457,
17_2,Week.2,2,2017-05-01,2017-05-05,Western low.risk.low.density,3,6,0,5508.007784,0,5508.007784,525571566,0,0,NA,NA,NA,
17_2,Week.2,2,2017-05-01,2017-05-05,high.risk,6,12,0,11841.98544,0,11841.98544,403761732,0,0,NA,NA,NA,
17_2,Week.2,2,2017-05-01,2017-05-05,Eastern low.risk.low.density,3,6,0,5803.620189,0,5803.620189,128797748,0,0,NA,NA,NA,
17_2,Week.2,2,2017-05-01,2017-05-05,Total,18,36,6,34714.10767,85.21458107,34714.10767,NA,6303409.179,6.55E+13,8094867.577,559562,26803457,Full
17_2,Week.3,3,2017-05-08,2017-05-12,low.risk.high.density,4,8,0,7910.117265,0,7910.117265,855141511,0,0,NA,NA,NA,
17_2,Week.3,3,2017-05-08,2017-05-12,Western low.risk.low.density,3,6,4,5739.993525,6.118717451,5739.993525,525571566,560248.7004,3.57E+11,597726.4215,69389,2115474,
17_2,Week.3,3,2017-05-08,2017-05-12,high.risk,6,12,0,11940.99632,0,11940.99632,403761732,0,0,NA,NA,NA,
17_2,Week.3,3,2017-05-08,2017-05-12,Eastern low.risk.low.density,3,6,0,6041.854978,0,6041.854978,128797748,0,0,NA,NA,NA,
17_2,Week.3,3,2017-05-08,2017-05-12,Total,16,32,4,31632.96209,6.118717451,31632.96209,NA,560248.7004,3.57E+11,597726.4215,69389,2115474,Full
17_2,Week.4,4,2017-05-15,2017-05-19,low.risk.high.density,6,12,1,11162.70587,53.73944336,11162.70587,855141511,4116818.031,3.36E+13,5794032.456,307485,18491330,
17_2,Week.4,4,2017-05-15,2017-05-19,Western low.risk.low.density,3,5,0,4643.610328,0,4643.610328,525571566,0,0,NA,NA,NA,
17_2,Week.4,4,2017-05-15,2017-05-19,high.risk,6,12,0,12325.79968,0,12325.79968,403761732,0,0,NA,NA,NA,
17_2,Week.4,4,2017-05-15,2017-05-19,Eastern low.risk.low.density,3,6,0,5735.692232,0,5735.692232,128797748,0,0,NA,NA,NA,
17_2,Week.4,4,2017-05-15,2017-05-19,Total,18,35,1,33867.8081,53.73944336,33867.8081,NA,4116818.031,3.36E+13,5794032.456,307485,18491330,Full
17_2,Week.5,5,2017-05-22,2017-05-26,low.risk.high.density,6,12,0,11534.72708,0,11534.72708,855141511,0,0,NA,NA,NA,
17_2,Week.5,5,2017-05-22,2017-05-26,Western low.risk.low.density,3,6,0,5715.930634,0,5715.930634,525571566,0,0,NA,NA,NA,
17_2,Week.5,5,2017-05-22,2017-05-26,high.risk,6,12,0,12264.28308,0,12264.28308,403761732,0,0,NA,NA,NA,
17_2,Week.5,5,2017-05-22,2017-05-26,Eastern low.risk.low.density,3,7,0,6361.936056,0,6361.936056,128797748,0,0,NA,NA,NA,
17_2,Week.5,5,2017-05-22,2017-05-26,Total,18,37,0,35876.87685,0,35876.87685,NA,0,0,NA,NA,NA,Full
17_2,Week.6,6,2017-05-29,2017-06-02,low.risk.high.density,6,12,0,11618.68344,0,11618.68344,855141511,0,0,NA,NA,NA,
17_2,Week.6,6,2017-05-29,2017-06-02,Western low.risk.low.density,3,6,1,6977.061444,1,6977.061444,525571566,75328.49899,6231934732,78942.60404,9622,281066,
17_2,Week.6,6,2017-05-29,2017-06-02,high.risk,6,12,0,11753.44374,0,11753.44374,403761732,0,0,NA,NA,NA,
17_2,Week.6,6,2017-05-29,2017-06-02,Eastern low.risk.low.density,3,6,0,5753.587232,0,5753.587232,128797748,0,0,NA,NA,NA,
17_2,Week.6,6,2017-05-29,2017-06-02,Total,18,36,1,36102.77586,1,36102.77586,NA,75328.49899,6231934732,78942.60404,9622,281066,Full
17_2,Week.7,7,2017-06-05,2017-06-09,low.risk.high.density,6,12,0,11304.4862,0,11304.4862,855141511,0,0,NA,NA,NA,
17_2,Week.7,7,2017-06-05,2017-06-09,Western low.risk.low.density,3,6,1,5932.618382,24.96868656,5932.618382,525571566,2211979.745,9.62E+12,3102156.371,166333,9914999,
17_2,Week.7,7,2017-06-05,2017-06-09,high.risk,6,12,0,12175.13271,0,12175.13271,403761732,0,0,NA,NA,NA,
17_2,Week.7,7,2017-06-05,2017-06-09,Eastern low.risk.low.density,3,6,0,6110.675656,0,6110.675656,128797748,0,0,NA,NA,NA,
17_2,Week.7,7,2017-06-05,2017-06-09,Total,18,36,1,35522.91295,24.96868656,35522.91295,NA,2211979.745,9.62E+12,3102156.371,166333,9914999,Full
17_2,Week.8,8,2017-06-12,2017-06-16,low.risk.high.density,6,12,1,9984.719852,1,9984.719852,855141511,85645.01795,7187202184,84777.36835,12048,307511,
17_2,Week.8,8,2017-06-12,2017-06-16,Western low.risk.low.density,3,6,0,5711.953968,0,5711.953968,525571566,0,0,NA,NA,NA,
17_2,Week.8,8,2017-06-12,2017-06-16,high.risk,6,12,0,12115.27982,0,12115.27982,403761732,0,0,NA,NA,NA,
17_2,Week.8,8,2017-06-12,2017-06-16,Eastern low.risk.low.density,3,6,0,5961.469504,0,5961.469504,128797748,0,0,NA,NA,NA,
17_2,Week.8,8,2017-06-12,2017-06-16,Total,18,36,1,33773.42314,1,33773.42314,NA,85645.01795,7187202184,84777.36835,12048,307511,Full
17_2,Week.9,9,2017-06-19,2017-06-23,low.risk.high.density,6,12,1,10418.66344,1,10418.66344,855141511,82077.8515,6647002848,81529.15336,11479,295399,
17_2,Week.9,9,2017-06-19,2017-06-23,Western low.risk.low.density,3,6,0,5781.505054,0,5781.505054,525571566,0,0,NA,NA,NA,
17_2,Week.9,9,2017-06-19,2017-06-23,high.risk,6,12,0,11630.89749,0,11630.89749,403761732,0,0,NA,NA,NA,
17_2,Week.9,9,2017-06-19,2017-06-23,Eastern low.risk.low.density,3,6,0,6037.431951,0,6037.431951,128797748,0,0,NA,NA,NA,
17_2,Week.9,9,2017-06-19,2017-06-23,Total,18,36,1,33868.49793,1,33868.49793,NA,82077.8515,6647002848,81529.15336,11479,295399,Full
17_2,Week.10,10,2017-06-26,2017-06-30,low.risk.high.density,6,12,4,11500.11385,4,11500.11385,855141511,297437.5809,88662240003,297762.0527,41060,1076151,
17_2,Week.10,10,2017-06-26,2017-06-30,Western low.risk.low.density,3,6,0,5542.174653,0,5542.174653,525571566,0,0,NA,NA,NA,
17_2,Week.10,10,2017-06-26,2017-06-30,high.risk,6,12,0,13259.30186,0,13259.30186,403761732,0,0,NA,NA,NA,
17_2,Week.10,10,2017-06-26,2017-06-30,Eastern low.risk.low.density,3,6,0,6118.101472,0,6118.101472,128797748,0,0,NA,NA,NA,
17_2,Week.10,10,2017-06-26,2017-06-30,Total,18,36,4,36419.69183,4,36419.69183,NA,297437.5809,88662240003,297762.0527,41060,1076151,Full
17_3,Week.1,1,2017-07-03,2017-07-07,Western Delta,4,32,0,130559.7101,0,94293.12397,279273078,0,NA,NA,NA,NA,
17_3,Week.1,1,2017-07-03,2017-07-07,Suisun Bay Marsh,2,5,5,12373.1671,5,8936.176239,220105238,123152.6785,3033969132,55081.47721,48680,259619,
17_3,Week.1,1,2017-07-03,2017-07-07,Lower Sacramento,2,10,0,21249.07876,0,15346.55688,117440529,0,NA,NA,NA,NA,
17_3,Week.1,1,2017-07-03,2017-07-07,Cache Slough LI,2,3,37,6047.239252,37,4367.450571,51786023,465829.0429,2.60E+11,510181.1093,55125,1789697,
17_3,Week.1,1,2017-07-03,2017-07-07,Sac DW Ship Channel,2,4,9,4461.713441,9,3222.348596,14472933,40400.20998,183293248.5,13538.5837,20211,72605,
17_3,Week.1,1,2017-07-03,2017-07-07,Upper Sacramento,2,13,0,44295.9854,0,31991.54501,50673600,0,NA,NA,NA,NA,
17_3,Week.1,1,2017-07-03,2017-07-07,Lower San Joaquin,4,20,1,32097.8271,1,23181.76401,109289061,6099.655827,109137278.9,10446.87891,310,30482,
17_3,Week.1,1,2017-07-03,2017-07-07,Southern Delta,6,48,0,179539.1467,0,129667.1615,255069170,0,NA,NA,NA,NA,
17_3,Week.1,1,2017-07-03,2017-07-07,Total,24,135,52,430623.8678,52,311006.1268,NA,635481.5872,2.64E+11,513430.7782,123207,1983174,Full
