Time,A0D83441350,,A0D83441350,,A0D83441350,,A0D83441350,,A0D83441350,,A0D83441350,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 8:00,23.4,1,38.94,1,840,1,7.85,1,4.03,1,25.47,1
6/25/2020 8:15,23.4,1,34.46,1,854,1,7.86,1,4.24,1,26.1,1
6/25/2020 8:30,23.5,1,33.91,1,868,1,7.88,1,4.51,1,23.16,1
6/25/2020 8:45,23.6,1,38.62,1,870,1,7.89,1,4.69,1,23.63,1
6/25/2020 9:00,23.7,1,36.84,1,867,1,7.9,1,4.71,1,24.13,1
6/25/2020 9:15,23.9,1,42.42,1,860,1,7.9,1,4.64,1,23.86,1
6/25/2020 9:30,23.9,1,41.9,1,854,1,7.89,1,4.43,1,23.82,1
6/25/2020 9:45,24,1,37.59,1,845,1,7.89,1,4.25,1,22.7,1
6/25/2020 10:00,24.2,1,42.79,1,845,1,7.89,1,4.25,1,23.89,1
6/25/2020 10:15,24.1,1,42.43,1,833,1,7.87,1,3.99,1,25.06,1
6/25/2020 10:30,24.5,1,41.11,1,843,1,7.9,1,4.41,1,27.88,1
6/25/2020 10:45,24.2,1,38.22,1,844,1,7.86,1,3.94,1,21.54,1
6/25/2020 11:00,24.3,1,31.38,1,852,1,7.86,1,4.01,1,21.36,1
6/25/2020 11:15,24.5,1,36.79,1,849,1,7.89,1,4.21,1,24.66,1
6/25/2020 11:30,24.6,1,34.7,1,842,1,7.88,1,4.18,1,27.8,1
6/25/2020 11:45,24.7,1,38.64,1,832,1,7.88,1,4.33,1,28.97,1
6/25/2020 12:00,24.6,1,40.9,1,827,1,7.87,1,4.26,1,30.16,1
6/25/2020 12:15,24.6,1,41.89,1,825,1,7.87,1,4.28,1,31.58,1
6/25/2020 12:30,24.7,1,43.05,1,822,1,7.88,1,4.49,1,38.92,1
6/25/2020 12:45,24.8,1,40.49,1,812,1,7.9,1,4.73,1,35.63,1
6/25/2020 13:00,25.3,1,42.6,1,795,1,7.93,1,5.14,1,34.92,1
6/25/2020 13:15,25.6,1,40.01,1,784,1,7.95,1,5.32,1,37.05,1
6/25/2020 13:30,25.8,1,41.01,1,777,1,7.95,1,5.32,1,41.76,1
6/25/2020 13:45,26,1,48.28,1,772,1,7.97,1,5.51,1,37.8,1
6/25/2020 14:00,26.3,1,43.91,1,766,1,8.01,1,6,1,42.36,1
6/25/2020 14:15,26.7,1,42.22,1,762,1,8.04,1,6.46,1,48.81,1
6/25/2020 14:30,27,1,42.53,1,760,1,8.07,1,6.85,1,46.45,1
6/25/2020 14:45,27.2,1,41.11,1,759,1,8.07,1,6.97,1,53.33,1
6/25/2020 15:00,27.3,1,43.56,1,757,1,8.08,1,7.09,1,46.24,1
6/25/2020 15:15,27.5,1,40.97,1,756,1,8.09,1,7.15,1,47.63,1
6/25/2020 15:30,27.6,1,45.45,1,754,1,8.1,1,7.31,1,48.25,1
6/25/2020 15:45,27.7,1,40.16,1,753,1,8.09,1,7.36,1,47.97,1
6/25/2020 16:00,27.9,1,39.3,1,751,1,8.1,1,7.54,1,50.13,1
6/25/2020 16:15,28,1,39.6,1,749,1,8.11,1,7.7,1,52.51,1
6/25/2020 16:30,28.1,1,38.82,1,747,1,8.13,1,7.97,1,54.12,1
6/25/2020 16:45,28.2,1,36.66,1,746,1,8.15,1,8.32,1,59.27,1
6/25/2020 17:00,28.4,1,37.42,1,744,1,8.17,1,8.62,1,59.21,1
6/25/2020 17:15,28.5,1,37.99,1,742,1,8.19,1,8.99,1,59.05,1
6/25/2020 17:30,28.6,1,35.83,1,741,1,8.2,1,9.14,1,63.16,1
6/25/2020 17:45,28.7,1,36.09,1,740,1,8.21,1,9.29,1,70.03,1
6/25/2020 18:00,28.8,1,33.5,1,739,1,8.22,1,9.44,1,69.86,1
