Time,B9156000,,B9156000,,B9156000,,B9156000,,B9156000,,B9156000,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 0:00,26,1,36.18,1,317,1,7.91,1,5.7,1,5.16,1
6/25/2020 0:15,26,1,35.18,1,317,1,7.95,1,6.09,1,7.15,1
6/25/2020 0:30,25.9,1,37.18,1,317,1,7.96,1,6.12,1,7.29,1
6/25/2020 0:45,25.9,1,34.53,1,317,1,7.96,1,6.13,1,7.68,1
6/25/2020 1:00,25.8,1,35.44,1,318,1,7.95,1,6.13,1,6.92,1
6/25/2020 1:15,25.8,1,34.24,1,318,1,7.95,1,5.97,1,6.58,1
6/25/2020 1:30,25.8,1,35.39,1,320,1,7.95,1,6.1,1,7.65,1
6/25/2020 1:45,25.7,1,33.98,1,318,1,7.95,1,5.87,1,6.75,1
6/25/2020 2:00,25.7,1,34.14,1,320,1,7.95,1,6,1,6.87,1
6/25/2020 2:15,25.6,1,34.82,1,321,1,7.91,1,5.82,1,7.24,1
6/25/2020 2:30,25.6,1,34.79,1,322,1,7.92,1,5.94,1,6.89,1
6/25/2020 2:45,25.5,1,35.49,1,325,1,7.91,1,5.89,1,6.2,1
6/25/2020 3:00,25.5,1,34.84,1,326,1,7.91,1,5.86,1,6.51,1
6/25/2020 3:15,25.4,1,33.58,1,324,1,7.89,1,5.8,1,6.03,1
6/25/2020 3:30,25.5,1,36.5,1,326,1,7.9,1,5.6,1,6.39,1
6/25/2020 3:45,25.4,1,33.45,1,332,1,7.87,1,5.65,1,5.16,1
6/25/2020 4:00,25.4,1,37.54,1,337,1,7.86,1,5.48,1,4.63,1
6/25/2020 4:15,25.4,1,36.1,1,336,1,7.83,1,5.25,1,4.7,1
6/25/2020 4:30,25.4,1,35.76,1,337,1,7.83,1,5.31,1,4.62,1
6/25/2020 4:45,25.4,1,35.64,1,335,1,7.86,1,5.63,1,6.36,1
6/25/2020 5:00,25.4,1,36.33,1,332,1,7.88,1,5.79,1,6.6,1
6/25/2020 5:15,25.3,1,35.93,1,333,1,7.89,1,5.84,1,7.27,1
6/25/2020 5:30,25.3,1,37.86,1,336,1,7.88,1,5.71,1,6.93,1
6/25/2020 5:45,25.2,1,36.55,1,342,1,7.87,1,5.76,1,7.09,1
6/25/2020 6:00,25.2,1,37.18,1,339,1,7.86,1,5.7,1,7.15,1
6/25/2020 6:15,25.1,1,45.67,1,327,1,7.88,1,5.77,1,7.06,1
6/25/2020 6:30,25.1,1,40.58,1,319,1,7.9,1,5.79,1,6.68,1
6/25/2020 6:45,25,1,41.56,1,315,1,7.9,1,5.82,1,7.32,1
6/25/2020 7:00,25,1,41.63,1,315,1,7.91,1,5.8,1,7.14,1
6/25/2020 7:15,25,1,41.35,1,315,1,7.91,1,5.83,1,7.25,1
6/25/2020 7:30,25,1,41.05,1,314,1,7.9,1,5.78,1,6.93,1
6/25/2020 7:45,25,1,44.73,1,310,1,7.9,1,5.75,1,6.64,1
6/25/2020 8:00,25,1,42.33,1,307,1,7.9,1,5.73,1,6.67,1
6/25/2020 8:15,25,1,42.2,1,308,1,7.9,1,5.72,1,6.14,1
6/25/2020 8:30,25.1,1,44.75,1,305,1,7.9,1,5.73,1,6.46,1
6/25/2020 8:45,25.2,1,44.48,1,301,1,7.9,1,5.71,1,5.95,1
6/25/2020 8:52,,255,,255,,255,,255,,255,,255
6/25/2020 9:00,25.3,1,45.33,1,297,1,7.85,1,5.86,1,6.07,1
6/25/2020 9:15,25.4,1,42.24,1,292,1,7.79,1,5.82,1,5.91,1
6/25/2020 9:30,25.3,1,45.14,1,290,1,7.74,1,5.8,1,5.6,1
6/25/2020 9:45,25.4,1,45.67,1,290,1,7.73,1,5.75,1,5.78,1
6/25/2020 10:00,25.4,1,41.37,1,289,1,7.69,1,5.46,1,4.61,1
