Time,A0D84761435,,A0D84761435,,A0D84761435,,A0D84761435,,A0D84761435,,A0D84761435,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/24/2020 9:15,25.1,1,14.54,1,693,1,7.76,1,2.83,1,9.51,1
6/24/2020 9:30,25.3,1,11.54,1,693,1,7.77,1,2.97,1,9.04,1
6/24/2020 9:45,25.3,1,13.68,1,694,1,7.76,1,2.88,1,10.3,1
6/24/2020 10:00,25.6,1,11.63,1,694,1,7.76,1,3.05,1,10.82,1
6/24/2020 10:15,25,1,20.6,1,697,1,7.73,1,2.02,1,11.3,1
6/24/2020 10:30,25.3,1,18.29,1,694,1,7.73,1,2.56,1,12.05,1
6/24/2020 10:45,24.9,1,21.65,1,696,1,7.7,1,1.97,1,13.47,1
6/24/2020 11:00,25.1,1,18.26,1,696,1,7.7,1,2.06,1,13.82,1
6/24/2020 11:15,24.7,1,23.44,1,700,1,7.65,1,1.27,1,13.47,1
6/24/2020 11:30,24.8,1,19.49,1,699,1,7.65,1,1.69,1,14.58,1
6/24/2020 11:45,24.7,1,23.04,1,701,1,7.63,1,1.04,1,13.96,1
6/24/2020 12:00,24.7,1,23.37,1,701,1,7.63,1,1.21,1,16.15,1
6/24/2020 12:15,24.7,1,22.36,1,701,1,7.63,1,1.19,1,14.67,1
6/24/2020 12:30,25,1,21.13,1,700,1,7.64,1,1.37,1,14.43,1
6/24/2020 12:45,25,1,19.44,1,699,1,7.67,1,2.15,1,14.24,1
6/24/2020 13:00,25.2,1,19.35,1,696,1,7.69,1,2.66,1,16.16,1
6/24/2020 13:15,25.3,1,16.9,1,697,1,7.68,1,2.58,1,15.77,1
6/24/2020 13:30,25,1,19.36,1,697,1,7.66,1,2.05,1,16.4,1
6/24/2020 13:45,25.4,1,16.34,1,696,1,7.69,1,2.88,1,14.56,1
6/24/2020 14:00,25.1,1,19.46,1,698,1,7.66,1,2.07,1,18.02,1
6/24/2020 14:15,25.4,1,16.85,1,697,1,7.69,1,2.74,1,16.32,1
6/24/2020 14:30,25.1,1,18.16,1,699,1,7.66,1,2.1,1,16.61,1
6/24/2020 14:45,25.5,1,14.75,1,697,1,7.71,1,3.17,1,15.29,1
6/24/2020 15:00,25.1,1,18.62,1,699,1,7.65,1,2.06,1,15.63,1
6/24/2020 15:15,25.8,1,16.75,1,696,1,7.7,1,2.99,1,18.85,1
6/24/2020 15:30,25.5,1,16.79,1,697,1,7.7,1,3.08,1,16.44,1
6/24/2020 15:45,25.4,1,16.34,1,698,1,7.68,1,2.43,1,15.4,1
6/24/2020 16:00,25.8,1,15.73,1,696,1,7.74,1,3.34,1,16.46,1
6/24/2020 16:15,25.6,1,15.22,1,697,1,7.72,1,3.08,1,16.42,1
6/24/2020 16:30,25.3,1,18.07,1,699,1,7.66,1,2.2,1,15.44,1
6/24/2020 16:45,25.7,1,15.2,1,696,1,7.7,1,3.23,1,16.33,1
6/24/2020 17:00,25.5,1,17.04,1,698,1,7.69,1,2.5,1,16.25,1
6/24/2020 17:15,25.7,1,15.43,1,697,1,7.71,1,3.17,1,15.52,1
6/24/2020 17:30,25.3,1,17.47,1,698,1,7.68,1,2.24,1,15.58,1
6/24/2020 17:45,25.8,1,14.62,1,695,1,7.69,1,2.85,1,14.8,1
6/24/2020 18:00,25.3,1,18.16,1,698,1,7.66,1,2.19,1,16.98,1
6/24/2020 18:15,25.3,1,14.39,1,697,1,7.67,1,2.18,1,14.95,1
6/24/2020 18:30,25.8,1,14.66,1,695,1,7.68,1,2.19,1,17.12,1
6/24/2020 18:45,25.5,1,16.29,1,696,1,7.67,1,2.33,1,16.38,1
6/24/2020 19:00,25.3,1,17.84,1,697,1,7.65,1,1.87,1,18.85,1
6/24/2020 19:15,25.4,1,17.66,1,697,1,7.64,1,1.86,1,16.92,1
