Time,A0D84061386,,A0D84061386,,A0D84061386,,A0D84061386,,A0D84061386,,A0D84061386,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/24/2020 10:15,24.3,1,25.95,1,891,1,7.75,1,4.87,1,27.81,1
6/24/2020 10:30,24.5,1,21.91,1,900,1,7.81,1,5.77,1,29.22,1
6/24/2020 10:45,24.3,1,22.4,1,892,1,7.76,1,4.71,1,27.52,1
6/24/2020 11:00,24.2,1,20.94,1,886,1,7.73,1,4.38,1,24.94,1
6/24/2020 11:15,24.3,1,21.51,1,891,1,7.77,1,5.01,1,27.18,1
6/24/2020 11:30,24.2,1,21.8,1,888,1,7.75,1,4.59,1,27.81,1
6/24/2020 11:45,24.3,1,20.17,1,888,1,7.76,1,4.71,1,25.54,1
6/24/2020 12:00,24.3,1,22.18,1,889,1,7.76,1,5.03,1,29.23,1
6/24/2020 12:15,24.3,1,21.05,1,888,1,7.76,1,4.87,1,27.77,1
6/24/2020 12:30,24.4,1,20.15,1,893,1,7.8,1,5.03,1,29.2,1
6/24/2020 12:45,24.4,1,20.85,1,892,1,7.8,1,5.01,1,28.68,1
6/24/2020 13:00,24.5,1,21.21,1,893,1,7.79,1,5.35,1,31.15,1
6/24/2020 13:15,24.6,1,20.59,1,895,1,7.8,1,5.58,1,29.3,1
6/24/2020 13:30,24.6,1,19.4,1,896,1,7.79,1,5.25,1,27.75,1
6/24/2020 13:45,24.5,1,19.44,1,896,1,7.78,1,5.21,1,30.53,1
6/24/2020 14:00,24.6,1,20.85,1,898,1,7.79,1,5.48,1,30.12,1
6/24/2020 14:15,24.6,1,22.32,1,899,1,7.82,1,5.54,1,29.29,1
6/24/2020 14:30,24.6,1,20.89,1,900,1,7.81,1,5.08,1,31.76,1
6/24/2020 14:45,24.7,1,21.19,1,901,1,7.82,1,5.99,1,36.78,1
6/24/2020 15:00,24.8,1,21.3,1,902,1,7.85,1,6,1,32.68,1
6/24/2020 15:15,24.8,1,21.02,1,904,1,7.84,1,6.11,1,36.99,1
6/24/2020 15:30,24.8,1,23.17,1,903,1,7.83,1,5.7,1,41.34,1
6/24/2020 15:45,24.9,1,22.05,1,903,1,7.85,1,6.29,1,42.18,1
6/24/2020 16:00,25,1,20.58,1,905,1,7.89,1,6.64,1,39.22,1
6/24/2020 16:15,25,1,19.04,1,907,1,7.89,1,6.4,1,40.43,1
6/24/2020 16:30,25.1,1,18.68,1,908,1,7.9,1,6.74,1,39.29,1
6/24/2020 16:45,25.6,1,22.4,1,912,1,7.97,1,7.73,1,49.96,1
6/24/2020 17:00,25.6,1,22.93,1,914,1,7.94,1,7.51,1,42.38,1
6/24/2020 17:15,25.6,1,20.6,1,914,1,7.92,1,7.36,1,37.84,1
6/24/2020 17:30,25.7,1,22.15,1,915,1,7.93,1,7.34,1,42.4,1
6/24/2020 17:45,25.6,1,21.59,1,915,1,7.9,1,7,1,37.49,1
6/24/2020 18:00,25.7,1,22.24,1,917,1,7.89,1,7.09,1,40.4,1
6/24/2020 18:15,25.8,1,22.52,1,918,1,7.93,1,7.06,1,38.17,1
6/24/2020 18:30,25.8,1,23.43,1,918,1,7.88,1,6.99,1,42.05,1
6/24/2020 18:45,25.8,1,21.35,1,918,1,7.94,1,7.21,1,40.96,1
6/24/2020 19:00,25.8,1,21.16,1,918,1,7.94,1,7.08,1,38.31,1
6/24/2020 19:15,26.1,1,22.48,1,918,1,8,1,7.77,1,42.63,1
6/24/2020 19:30,26.3,1,20.74,1,917,1,8.04,1,7.95,1,43.66,1
6/24/2020 19:45,26.5,1,21.51,1,915,1,8.08,1,8.87,1,43.96,1
6/24/2020 20:00,26.4,1,21.06,1,914,1,8.06,1,8.68,1,43.94,1
6/24/2020 20:15,26.4,1,22.58,1,914,1,8.06,1,8.43,1,41.36,1
