Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/24/2020 8:30,26.2,1,12.22,1,689,1,7.55,1,1.49,1,8.46,1
6/24/2020 8:45,26.1,1,19.32,1,689,1,7.55,1,1.43,1,8.45,1
6/24/2020 9:00,26.1,1,15.86,1,689,1,7.55,1,1.4,1,6.59,1
6/24/2020 9:15,26.2,1,13.33,1,689,1,7.54,1,1.42,1,7.25,1
6/24/2020 9:30,26.3,1,12.01,1,689,1,7.55,1,1.53,1,9.12,1
6/24/2020 9:45,26.3,1,14.98,1,690,1,7.54,1,1.54,1,9.98,1
6/24/2020 10:00,26.5,1,37.77,1,691,1,7.55,1,1.61,1,9.11,1
6/24/2020 10:15,26.5,1,14.7,1,691,1,7.55,1,1.7,1,11.04,1
6/24/2020 10:30,26.7,1,32.77,1,691,1,7.55,1,1.8,1,10.79,1
6/24/2020 10:45,26.6,1,19.42,1,691,1,7.55,1,1.7,1,10.13,1
6/24/2020 11:00,26.6,1,27.65,1,691,1,7.55,1,1.69,1,11.82,1
6/24/2020 11:15,26.5,1,15.1,1,691,1,7.54,1,1.62,1,9.12,1
6/24/2020 11:30,26.6,1,13.69,1,691,1,7.54,1,1.6,1,9.78,1
6/24/2020 11:45,26.6,1,13.7,1,691,1,7.54,1,1.62,1,10.7,1
6/24/2020 12:00,26.6,1,13.76,1,692,1,7.54,1,1.63,1,10.61,1
6/24/2020 12:15,26.6,1,14.97,1,692,1,7.53,1,1.58,1,10.99,1
6/24/2020 12:30,26.6,1,14.14,1,693,1,7.53,1,1.55,1,10.5,1
6/24/2020 12:45,26.6,1,13.49,1,693,1,7.53,1,1.51,1,10.11,1
6/24/2020 13:00,26.6,1,14.48,1,694,1,7.52,1,1.48,1,9.14,1
6/24/2020 13:15,26.6,1,13.16,1,694,1,7.52,1,1.45,1,8.86,1
6/24/2020 13:30,26.7,1,14.7,1,695,1,7.52,1,1.45,1,9.23,1
6/24/2020 13:45,26.7,1,13.96,1,696,1,7.52,1,1.45,1,8.77,1
6/24/2020 14:00,26.7,1,12.81,1,696,1,7.52,1,1.48,1,9.94,1
6/24/2020 14:15,26.7,1,13.14,1,697,1,7.52,1,1.51,1,9.73,1
6/24/2020 14:30,26.7,1,13.23,1,697,1,7.52,1,1.51,1,9.55,1
6/24/2020 14:45,26.8,1,15.75,1,698,1,7.53,1,1.57,1,9.82,1
6/24/2020 15:00,26.8,1,13.36,1,698,1,7.53,1,1.6,1,10.52,1
6/24/2020 15:15,26.8,1,14.96,1,699,1,7.53,1,1.62,1,9.88,1
6/24/2020 15:30,26.8,1,15.27,1,699,1,7.53,1,1.59,1,9.58,1
6/24/2020 15:45,26.8,1,16.14,1,700,1,7.53,1,1.68,1,11.06,1
6/24/2020 16:00,26.9,1,15.51,1,700,1,7.54,1,1.78,1,10.49,1
6/24/2020 16:15,26.9,1,15,1,701,1,7.54,1,1.83,1,10.97,1
6/24/2020 16:30,27,1,14.13,1,701,1,7.53,1,1.81,1,10.03,1
6/24/2020 16:45,27,1,14.73,1,701,1,7.54,1,1.83,1,11.22,1
6/24/2020 17:00,27,1,13.29,1,702,1,7.54,1,1.84,1,11.13,1
6/24/2020 17:15,27.1,1,16.35,1,703,1,7.54,1,1.89,1,11.78,1
6/24/2020 17:30,27.1,1,17.8,1,703,1,7.53,1,1.75,1,9.77,1
6/24/2020 17:45,27.1,1,19.97,1,704,1,7.54,1,1.75,1,10.66,1
6/24/2020 18:00,27,1,15.69,1,704,1,7.53,1,1.63,1,10.1,1
6/24/2020 18:15,27,1,17.02,1,704,1,7.53,1,1.55,1,9.76,1
6/24/2020 18:30,27,1,13.69,1,705,1,7.53,1,1.55,1,9.93,1
