Time,A0D82120386,,A0D82120386,,A0D82120386,,A0D82120386,,A0D82120386,,A0D82120386,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 0:14,,170,,170,,170,,170,,170,,170
6/25/2020 0:29,,170,,170,,170,,170,,170,,170
6/25/2020 0:44,,170,,170,,170,,170,,170,,170
6/25/2020 0:59,,170,,170,,170,,170,,170,,170
6/25/2020 1:14,,170,,170,,170,,170,,170,,170
6/25/2020 1:29,,170,,170,,170,,170,,170,,170
6/25/2020 1:44,,170,,170,,170,,170,,170,,170
6/25/2020 1:59,,170,,170,,170,,170,,170,,170
6/25/2020 2:14,,170,,170,,170,,170,,170,,170
6/25/2020 2:29,,170,,170,,170,,170,,170,,170
6/25/2020 2:44,,170,,170,,170,,170,,170,,170
6/25/2020 2:59,,170,,170,,170,,170,,170,,170
6/25/2020 3:14,,170,,170,,170,,170,,170,,170
6/25/2020 3:29,,170,,170,,170,,170,,170,,170
6/25/2020 3:44,,170,,170,,170,,170,,170,,170
6/25/2020 3:59,,170,,170,,170,,170,,170,,170
6/25/2020 4:14,,170,,170,,170,,170,,170,,170
6/25/2020 4:29,,170,,170,,170,,170,,170,,170
6/25/2020 4:44,,170,,170,,170,,170,,170,,170
6/25/2020 4:59,,170,,170,,170,,170,,170,,170
6/25/2020 5:14,,170,,170,,170,,170,,170,,170
6/25/2020 5:29,,170,,170,,170,,170,,170,,170
6/25/2020 5:44,,170,,170,,170,,170,,170,,170
6/25/2020 5:59,,170,,170,,170,,170,,170,,170
6/25/2020 6:14,,170,,170,,170,,170,,170,,170
6/25/2020 6:29,,170,,170,,170,,170,,170,,170
6/25/2020 6:44,,170,,170,,170,,170,,170,,170
6/25/2020 6:59,,170,,170,,170,,170,,170,,170
6/25/2020 7:14,,170,,170,,170,,170,,170,,170
6/25/2020 7:29,,170,,170,,170,,170,,170,,170
6/25/2020 7:44,,170,,170,,170,,170,,170,,170
6/25/2020 7:59,,170,,170,,170,,170,,170,,170
6/25/2020 8:14,,170,,170,,170,,170,,170,,170
6/25/2020 8:29,,170,,170,,170,,170,,170,,170
6/25/2020 8:44,,170,,170,,170,,170,,170,,170
6/25/2020 8:59,,170,,170,,170,,170,,170,,170
6/25/2020 9:14,,170,,170,,170,,170,,170,,170
6/25/2020 9:29,,170,,170,,170,,170,,170,,170
6/25/2020 9:44,,170,,170,,170,,170,,170,,170
6/25/2020 9:59,,170,,170,,170,,170,,170,,170
6/25/2020 10:14,,170,,170,,170,,170,,170,,170
6/25/2020 10:22,,255,,255,,255,,255,,255,,255
6/25/2020 10:30,24.1,1,9.72,1,189,1,9.05,1,8.04,1,1.82,1
6/25/2020 10:45,24.2,1,10.05,1,189,1,9.05,1,8.07,1,1.89,1
6/25/2020 11:00,24.4,1,10.26,1,190,1,9.05,1,8.13,1,1.75,1
6/25/2020 11:15,24.6,1,11.05,1,191,1,9.04,1,8.15,1,1.92,1
6/25/2020 11:30,24.7,1,11.32,1,191,1,9.04,1,8.18,1,1.83,1
6/25/2020 11:45,24.7,1,11.85,1,192,1,9.05,1,8.18,1,1.91,1
6/25/2020 12:00,24.9,1,12.38,1,193,1,9.02,1,8.15,1,1.9,1
6/25/2020 12:15,25,1,13.12,1,194,1,9,1,8.11,1,1.93,1
6/25/2020 12:30,25.2,1,13.71,1,195,1,8.99,1,8.07,1,2,1
6/25/2020 12:45,25.3,1,13.87,1,195,1,8.98,1,8.04,1,2.03,1
6/25/2020 13:00,25.4,1,13.88,1,196,1,8.97,1,8,1,1.98,1
6/25/2020 13:15,25.4,1,14.74,1,197,1,8.95,1,7.92,1,2.05,1
6/25/2020 13:30,25.5,1,14.67,1,197,1,8.93,1,7.84,1,1.95,1
6/25/2020 13:45,25.6,1,15.11,1,197,1,8.9,1,7.73,1,2.16,1
