Year,Index-Date,Delta_Index,Suisun_bay_Index,Total_Index
1959,12-Jul,30.7,3,33.7
1960,16-Jul,32,13.6,45.6
1961,21-Jul,25.2,6.4,31.6
1962,26-Jul,46.8,32.1,78.9
1963,3-Aug,38.2,43.5,81.7
1964,1-Aug,54.7,20.7,75.4
1965,31-Jul,49.4,67.8,117.2
1966,,,,
1967,12-Aug,35.1,73.6,108.7
1968,18-Jul,39.6,17.7,57.3
1969,9-Aug,33.6,40.2,73.8
1970,18-Jul,36.6,41.9,78.5
1971,11-Aug,24.6,45,69.6
1972,24-Jul,13.4,21.1,34.5
1973,15-Jul,15.6,47.1,62.7
1974,22-Jul,17.4,63.4,80.8
1975,30-Jul,23.4,42.1,65.5
1976,16-Jul,21.1,14.8,35.9
1977,24-Jul,8.3,0.7,9
1978,22-Jul,16.5,13.1,29.6
1979,19-Jul,5.4,11.5,16.9
1980,27-Jul,2.8,11.2,14
1981,2-Jul,15.4,13.7,29.1
1982,30-Jul,9.5,39.2,48.7
1983,,,,
1984,13-Jul,6.3,20,26.3
1985,16-Jul,2.2,4.1,6.3
1986,9-Jul,23.8,41.1,64.9
1987,22-Jun,7.3,5.3,12.6
1988,24-Jul,3.9,0.7,4.6
1989,11-Jul,3.1,2,5.1
1990,18-Jul,2.8,1.5,4.3
1991,25-Jul,3.8,1.6,5.4
1992,24-Jun,6.6,4,10.6
1993,22-Jul,10.8,12.6,23.4
1994,10-Jul,7,3.6,10.6
1995,,,,
1996,26-Jul,0.5,1.6,2.1
1997,16-Jul,1,0.6,1.6
1998,30-Aug,0.1,1.6,1.7
1999,6-Aug,0.7,1.5,2.2
2000,18-Jul,2.8,2.7,5.5
2001,6-Jul,2.4,1,3.4
2002,,,,
2003,28-Jul,0.3,1.2,1.5
2004,13-Jul,0.5,0.3,0.8
2005,6-Aug,0.3,0.6,0.9
2006,30-Jul,   0,0.5,0.5
2007,17-Jul,0.3,   0,0.3
2008,17-Jul,0.8,0.3,1.1
2009,18-Jul,0.5,0.3,0.8
2010,23-Jul,0.7,0.8,1.5
2011,14-Aug,,,2.6
2012,17-Jul,,,1.7
2013,11-Jul,,,0.6
2014,3-Jul,,,0.3
2015,25-Jun,,,0.3
2016,6-Jul,,,2.2
2017,6-Aug,,,4
2018,9-Jul,,,1
2019,29-Jul,,,1.7
2020,5-Jul,,,0.6
